"Timestamp","Do you own a mobile phone?","Do you use your mobile phone for any financial/ banking transactions?","Do you operate a bank account?","What type of bank account do you operate?","Who provides your mobile banking service?","Is your mobile banking service an addition to existing bank account or separate service?","What type of Mobile Money transaction do you frequently make use? (Select all that applies)","How often do you make perform transactions based on the above [Airtime recharge]","How often do you make perform transactions based on the above [Fund transfer]","How often do you make perform transactions based on the above [Balance inquiry / Bank statement]","How often do you make perform transactions based on the above [Bill payment]","How often do you make perform transactions based on the above [International Remittance]","How often do you make perform transactions based on the above [Savings]","How often do you make perform transactions based on the above [Cash withdrawal]","How often do you make perform transactions based on the above [Purchasing]","How often do you make perform transactions based on the above [Commodity dealing / investment]","How often do you make perform transactions based on the above [Pension fund management]"," How do you typically transfer money? (Select all that applies)","Do you generally send, receive, or do both (send and receive)?","With whom do you generally undertake transfer of funds? [Family ]","With whom do you generally undertake transfer of funds? [Friends]","With whom do you generally undertake transfer of funds? [Employer/Employee ]","With whom do you generally undertake transfer of funds? [Government (Remita, e.t.c)]","How do you typically pay your bills? (Select all that applies)","What type of bills do you pay on your mobile phone? (Select all that applies)","Do you think Mobile banking services are easily accessible than traditional banking services?","On a scale of 1 to 3 (low to high), how would you rate your knowledge of all the banking services available through your [Bank]","On a scale of 1 to 3 (low to high), how would you rate your knowledge of all the banking services available through your [Mobile banking service]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [Mobile Phone ]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [ATM machine]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [Internet]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [POS]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [Debit card]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [Prepaid card]","On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [My mobile banking menu is very easy to navigate]","On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [My mobile banking menu is very easy to understand]","On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [It is easy to make a payment]","On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [t is easy to make transfer money]","On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [It is easy to make a balance inquiry]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Overall Trust]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Trust in banks]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Trust in the technology of mobile banking]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Trust in third party agent (e.g., pay outlet, cash-out point]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Security from fraud]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Ease of use]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [Cost saving (Lower rates, transaction fees) 1 2 3 4 5]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [Time saving (no need to go to bank or ATM)]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [24 h Access (can make transaction any time)]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [Physical security (no need to go out with cash)]","On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [Others (please specify)_________]","Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Lower transaction costs]","Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Security from fraud]","Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Physical security]","Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Safe transaction with feedback on transfer (e.g. sms)]","Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Wide acceptance of mobile money]","Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [More locations I can cash-out my money]","Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Other (specify)]","","","","",""
"2022/01/15 9:33:26 pm CET","Yes","No","Yes","Both","USSD Code","Separate","Receive Money;Buying Airtime;International Remittance;Savings;Cash withdrawal;Pension fund management","Occasionally (less than once a month)","Monthly-several times","Monthly-once","Weekly-several times","Weekly-Once","Daily –Several times","Daily-once","Daily –Several times","Weekly-Once","Weekly-several times","Bank teller;Automatic Teller Machine (ATM);Western Union, Money Gram;Mobile money","Send and Receive","Send","Receive","Both","Receive","Bank teller;Pay outlet by company;Mobile banking;Cheque;Prepaid card","Mobile phone bill;Utility (electricity, water);Goods for home","No","1","2","3","2","1","2","3","2","1","2","3","2","1","2","3","2","1","2","3","2","1","2","3","2","1","2","3","2","1","2","3","Farmer","61+ years","Divorced / Widowed /Separated","N 150,001 to N 300,000","Bachelors"
"2022/01/18 9:37:49 pm CET","Yes","Yes","Yes","Current","Bank App","An addition","Send Money;Receive Money;Buying Airtime;Balance inquiry / Bank statement;Savings;Cash withdrawal;Purchasing;Commodity dealing / investment","Weekly-Once","Weekly-Once","Weekly-Once","Weekly-Once","","","","","","","Online/Internet;Point Of Sale (POS) Service","Send and Receive","Both","Receive","Both","Both","Bank teller","","Yes","3","1","2","2","2","2","2","1","2","2","1","2","1","2","2","1","2","2","1","1","3","2","1","3","1","3","","3","1","3","","","","","",""
"2022/01/18 9:37:59 pm CET","Yes","Yes","Yes","Savings","USSD Code","An addition","Send Money;Receive Money;Savings;Cash withdrawal","Occasionally (less than once a month)","Occasionally (less than once a month)","Occasionally (less than once a month)","Occasionally (less than once a month)","Occasionally (less than once a month)","Weekly-several times","Weekly-several times","Occasionally (less than once a month)","","","Mobile money","Send and Receive","Send","Send","Send","","Mobile banking;Credit card","Mobile phone bill;Utility (electricity, water);School fees;Goods for home;Goods for work","Yes","","","","","","","","","","","","","","2","1","2","1","2","3","2","2","1","1","","1","1","1","2","2","2","2","","","","",""
"2022/01/18 9:38:09 pm CET","Yes","No","Yes","Savings","Don’t know / Not sure","An addition","Send Money;Receive Money;Buying Airtime;Savings;Cash withdrawal;Purchasing;Commodity dealing / investment","Weekly-Once","Weekly-Once","Daily-once","Weekly-Once","Weekly-Once","Daily –Several times","Daily –Several times","Weekly-Once","Weekly-Once","Weekly-Once","Automatic Teller Machine (ATM);Mobile money;Online/Internet","Send and Receive","Receive","Send","Receive","Receive","Bank teller;Automatic Teller Machine (ATM);Third party pay outlet;Mobile banking","Mobile phone bill;School fees;Goods for home;Goods for work","Yes","2","3","2","3","2","3","2","3","1","2","3","1","2","2","3","3","2","2","","3","1","","","1","1","3","3","2","1","1","3","","","","",""
"2022/01/18 9:38:40 pm CET","Yes","Yes","Yes","Both","Bank App","An addition","Send Money","Weekly-Once","Weekly-Once","Weekly-Once","Daily –Several times","Daily –Several times","Weekly-Once","Daily –Several times","Daily –Several times","Daily –Several times","Weekly-Once","Bank teller;Automatic Teller Machine (ATM);Mobile money;Online/Internet;Point Of Sale (POS) Service","Send and Receive","Both","Both","Both","","Mobile banking","Mobile phone bill;Goods for home;Goods for work","Yes","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","2","2","3","1","3","3","2","","3","2","2","3","3","3","","","","","",""
"2022/01/18 9:46:46 pm CET","Yes","Yes","Yes","Savings","Bank App and USSD Code","","Send Money;Receive Money;Buying Airtime","Daily –Several times","","","","","Daily –Several times","","","","","Online/Internet","Send and Receive","Receive","Send","","","Mobile banking","Utility (electricity, water);School fees","Yes","2","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/01/18 9:46:48 pm CET","Yes","Yes","Yes","Savings","Bank App and USSD Code","Separate","Send Money;Receive Money;Buying Airtime;Balance inquiry / Bank statement;Savings","Daily –Several times","Daily-once","Daily-once","","","Daily –Several times","Daily-once","","","","Mobile money;Online/Internet","Send and Receive","Send","Receive","","Receive","Mobile banking","Mobile phone bill","Yes","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","3","3","","1","1","2","2","2","2","","","","","",""
"2022/01/18 9:55:09 pm CET","Yes","Yes","Yes","Savings","Another company (Abeg, Kuda, PalmPay, e.t.c.)","An addition","Send Money;Buying Airtime;Savings;Purchasing","Daily –Several times","Daily-once","","Weekly-Once","","Daily-once","Daily –Several times","Weekly-Once","","","Mobile money;Online/Internet;Point Of Sale (POS) Service","Send and Receive","Receive","Send","","","Mobile banking","Mobile phone bill;Utility (electricity, water);School fees;Goods for home","Yes","1","3","3","3","3","1","3","3","3","","3","3","3","3","3","3","3","3","3","3","3","3","3","","1","2","1","1","1","1","1","","","","",""
"2022/01/18 9:55:17 pm CET","Yes","Yes","Yes","Savings","Don’t know / Not sure","An addition","Send Money;Receive Money;Buying Airtime","","Daily-once","Daily-once","Daily-once","","","","","","","Automatic Teller Machine (ATM);Mobile money","Send and Receive","Send","Send","","","Pay outlet by company","Mobile phone bill;Utility (electricity, water)","Yes","","1","1","1","1","2","1","1","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","","","",""
"2022/01/18 9:59:06 pm CET","Yes","Yes","Yes","Both","Bank App and USSD Code","An addition","Send Money;Receive Money;Buying Airtime;Balance inquiry / Bank statement;Savings;Purchasing","Monthly-several times","Weekly-several times","Occasionally (less than once a month)","Occasionally (less than once a month)","","Weekly-several times","Weekly-several times","Weekly-several times","","","Mobile money;Online/Internet;Point Of Sale (POS) Service","Send and Receive","Both","Both","","Send","Mobile banking","School fees;Goods for home;Goods for work","Yes","2","2","3","3","3","3","3","3","3","3","3","3","3","2","3","2","2","2","3","3","3","3","3","","1","1","1","1","1","1","","","","","",""
