Column,Question
Timestamp,Timestamp
PhoneUser,Do you own a mobile phone?
MobileBanking,Do you use your mobile phone for any financial/ banking transactions?
BankAccount,Do you operate a bank account?
AccountType,What type of bank account do you operate?
ServiceProvider,Who provides your mobile banking service?
PlusBankaccount,Is your mobile banking service an addition to existing bank account or separate service?
TransactionActivity,What type of Mobile Money transaction do you frequently make use? (Select all that applies)
Airtime,How often do you make perform transactions based on the above [Airtime recharge]
FundTransfer,How often do you make perform transactions based on the above [Fund transfer]
Inquiries,How often do you make perform transactions based on the above [Balance inquiry / Bank statement]
BillPayment,How often do you make perform transactions based on the above [Bill payment]
IntlRemittance,How often do you make perform transactions based on the above [International Remittance]
Savings,How often do you make perform transactions based on the above [Savings]
Withdrawals,How often do you make perform transactions based on the above [Cash withdrawal]
Purchasing,How often do you make perform transactions based on the above [Purchasing]
Investments,How often do you make perform transactions based on the above [Commodity dealing / investment]
PensionFund,How often do you make perform transactions based on the above [Pension fund management]
TransferFunnel, How do you typically transfer money? (Select all that applies)
SendRecieve,"Do you generally send, receive, or do both (send and receive)?"
Transfer_Family,With whom do you generally undertake transfer of funds? [Family ]
Transfer_Friends,With whom do you generally undertake transfer of funds? [Friends]
Employer_Employee,With whom do you generally undertake transfer of funds? [Employer/Employee ]
Transfer_Government,"With whom do you generally undertake transfer of funds? [Government (Remita, e.t.c)]"
BillPayments,How do you typically pay your bills? (Select all that applies)
BillpaymentType,What type of bills do you pay on your mobile phone? (Select all that applies)
Accessibility,Do you think Mobile banking services are easily accessible than traditional banking services?
BankKnowledge,"On a scale of 1 to 3 (low to high), how would you rate your knowledge of all the banking services available through your [Bank]"
MBSKnowledge,"On a scale of 1 to 3 (low to high), how would you rate your knowledge of all the banking services available through your [Mobile banking service]"
MobileUsability,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [Mobile Phone ]"
ATMUsability,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [ATM machine]"
InternetUsability,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [Internet]"
POSUsability,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [POS]"
DebitcardUsability,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [Debit card]"
PrepaidcardUsability,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate your ability to use the following devices? [Prepaid card]"
Navigation,"On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [My mobile banking menu is very easy to navigate]"
Understandable,"On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [My mobile banking menu is very easy to understand]"
Payment,"On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [It is easy to make a payment]"
Transfer_Ease,"On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [t is easy to make transfer money]"
InquiryEase,"On a scale of 1 to 3, 1 being Not True and 3 being True, How would you rate the following statements about your mobile banking menu on your phone?  [It is easy to make a balance inquiry]"
